156,2,g_<cluster_prefix>_a_sdsa_sdpm_head_ahd,,40,null
157,2,g_<cluster_prefix>_a_sdsa_sdpm_head_od,,40,null
158,2,g_<cluster_prefix>_a_sdsa_sdpm_head_ld,,40,null
159,2,g_<cluster_prefix>_a_sdsa_sdpm_manager,,40,null
160,1,g_<cluster_prefix>_d_custom_<блок>_<имя витрины>_<область_optional>_tfsout_ro,r_<cluster_prefix>_custom_<блок>_<имя витрины>_<область_optional>_tfsout_ro,13,82
161,1,g_<cluster_prefix>_a_dda_users,,44,null
162,1,g_<cluster_prefix>_a_fw_admin,,45,null
163,1,g_<cluster_prefix>_a_fw_clusterman,,45,null
164,1,g_<cluster_prefix>_a_fw_hostman,,45,null
165,1,g_<cluster_prefix>_a_espd_appuser,,46,null
166,1,g_<cluster_prefix>_a_dda_subscr,,44,null
167,1,g_<cluster_prefix>_d_qgtmp_buffer_client_rw,r_<cluster_prefix>_qgtmp_buffer_client_rw,47,83
168,2,g_<cluster_prefix>_d_qgtmp_buffer_rw,r_<cluster_prefix>_qgtmp_buffer_rw,47,83
169,1,g_<cluster_prefix>_d_3ls_qgtmp_buffer_ro,r_<cluster_prefix>_3ls_qgtmp_buffer_ro,47,83
170,1,g_<cluster_prefix>_a_corr_r_reader,,48,null
171,1,g_<cluster_prefix>_a_corr_r_exec,,48,null
172,1,g_<cluster_prefix>_a_corr_audit,,48,null
173,1,g_<cluster_prefix>_a_corr_fin_fso,,48,null
174,1,g_<cluster_prefix>_a_corr_risk_erm,,48,null
175,1,g_<cluster_prefix>_a_corr_cib_mntz,,48,null
176,1,g_<cluster_prefix>_d_custom_<блок>_<имя витрины>_owner_ro,r_<cluster_prefix>_custom_<блок>_<имя витрины>_owner_ro,13,84
177,1,g_<cluster_prefix>_d_custom_<блок>_<имя витрины>_<область_optional>_tscorr_ro,r_<cluster_prefix>_custom_<блок>_<имя витрины>_<область_optional>_tscorr_ro,13,85
178,2,g_<cluster_prefix>_d_custom_<блок>_<имя витрины>_<область_optional>_tscorr_rw,r_<cluster_prefix>_custom_<блок>_<имя витрины>_<область_optional>_tscorr_rw,13,84
179,1,g_<cluster_prefix>_a_sdsa_tum_manager,,40,null
180,1,g_<cluster_prefix>_a_sdsa_tum_user_creator,,40,null
181,1,g_<cluster_prefix>_a_sdsa_om_admin,,40,null
182,1,g_<cluster_prefix>_a_sdsa_om_as_admin,,40,null
183,1,g_<cluster_prefix>_d_selfservice_owner_to_cedar_ro,r_<cluster_prefix>_selfservice_owner_to_cedar_ro,38,86
184,2,g_<cluster_prefix>_d_selfservice_pkd_rw,r_<cluster_prefix>_selfservice_pkd_rw,38,87
185,1,g_<cluster_prefix>_d_platform_<имя реплики>_r1_ro,r_<cluster_prefix>_platform_<имя реплики>_r1_ro,6,88
186,1,g_<cluster_prefix>_d_platform_<имя реплики>_r2_ro,r_<cluster_prefix>_platform_<имя реплики>_r2_ro,6,89
187,1,g_<cluster_prefix>_d_platform_<имя реплики>_r3_ro,r_<cluster_prefix>_platform_<имя реплики>_r3_ro,6,90
188,2,g_<cluster_prefix>_d_custom_<блок>_<имя витрины>_<область_optional>_eskkd_rw,r_<cluster_prefix>_custom_<блок>_<имя витрины>_<область_optional>_eskkd_rw,13,91
